site_id	position_zero_based	vcf_position_one_based
0	12.814892560243607	13
1	1688.2713232599199	1688
2	1903.8808297421783	1904
3	2510.9332846305333	2511
4	5617.7194870542735	5618
5	6077.201654764125	6077
6	6969.627474967623	6970
7	7104.096276336582	7104
8	8453.253924718592	8453
9	9199.574204361998	9200
10	9471.613448113203	9472
11	9522.588527561165	9523
12	12499.490422571078	12499
13	13065.001982084243	13065
14	13650.508820920717	13651
15	14621.936562803108	14622
16	15058.484150834847	15058
17	15915.113258465659	15915
18	17431.48257494322	17431
19	18979.645094801206	18980
20	19002.55319196731	19003
21	20821.42060971819	20821
22	21865.343404340558	21865
23	22312.85292099649	22313
24	22319.350433508633	22319
25	23164.612293300685	23165
26	23512.643416818697	23513
27	23650.869107303675	23651
28	23793.739798741415	23794
29	24741.25079322979	24741
30	24780.959728708258	24781
